madde,anlam
koşuverme,Koşuvermek işi
koşturabilmek,Koşturma ihtimali veya imkânı bulunmak
koşturabilme,Koşturabilmek işi
kotarabilmek,Kotarma ihtimali veya imkânı bulunmak
kovalayabilmek,Kovalama ihtimali veya imkânı bulunmak
kovalayabilme,Kovalayabilmek işi
kovabilmek,Kovma ihtimali veya imkânı bulunmak
kovabilme,Kovabilmek işi
kovdurabilmek,Kovdurma ihtimali veya imkânı bulunmak
kovdurabilme,Kovdurabilmek işi
koydurabilmek,Koydurma ihtimali veya imkânı bulunmak
koydurabilme,Koydurabilmek işi
koyabilmek,Koyma ihtimali veya imkânı bulunmak
koyabilme,Koyabilmek işi
koyulaştırabilmek,Koyulaştırma ihtimali veya imkânı bulunmak
koyulaştırabilme,Koyulaştırabilmek işi
koyulabilmek,Koyulma ihtimali veya imkânı bulunmak
koyulabilme,Koyulabilmek işi
kucaklayıvermek,Ansızın veya çabucak kucaklamak
kucaklayıverme,Kucaklayıvermek işi
kucaklayabilmek,Kucaklama ihtimali veya imkânı bulunmak
kucaklayabilme,Kucaklayabilmek işi
kucaklaşabilmek,Kucaklaşma ihtimali veya imkânı bulunmak
kucaklaşabilme,Kucaklaşabilmek işi
kullandırabilmek,Kullanmasına izin vermek
kullandırabilme,Kullandırabilmek işi
kullanabilmek,Kullanma ihtimali veya imkânı bulunmak
kullanabilme,Kullanabilmek işi
kullanıvermek,Çabucak veya kolaylıkla kullanmak
kullanıverme,Kullanıvermek işi
kurcalayabilmek,Kurcalama ihtimali veya imkânı bulunmak
kurcalayabilme,Kurcalayabilmek işi
kurdurabilmek,Kurdurma ihtimali veya imkânı bulunmak
kurdurabilme,Kurdurabilmek işi
kuruvermek,Çabucak veya kısa zamanda kurmak
kuruverme,Kuruvermek işi
kurabilmek,Kurma ihtimali veya imkânı bulunmak
kurabilme,Kurabilmek işi
kurtarılabilmek,Kurtarılma ihtimali veya imkânı bulunmak
kurtarılabilme,Kurtarılabilmek işi
kurtarabilmek,Kurtarma ihtimali veya imkânı bulunmak
kurtarabilme,Kurtarabilmek işi
kurtuluvermek,Ansızın veya çabucak kurtulmak
kurtuluverme,Kurtuluvermek işi
kurtulabilmek,Kurtulma ihtimali veya imkânı bulunmak
kurtulabilme,Kurtulabilmek işi
kuruyabilmek,Kuruma ihtimali veya imkânı bulunmak
kuruyabilme,Kuruyabilmek işi
kurutabilmek,Kurutma ihtimali veya imkânı bulunmak
kurutabilme,Kurutabilmek işi
kurutulabilmek,Kurutulması ihtimali veya imkânı bulunmak
kurutulabilme,Kurutulabilmek işi
kusuvermek,Ansızın kusmak
kusuverme,Kusuvermek işi
kusabilmek,Kusma ihtimali veya imkânı bulunmak
kusabilme,Kusabilmek işi
kusayazmak,Kusacak gibi olmak
kusayazma,Kusayazmak işi
kusturabilmek,Kusturma ihtimali veya imkânı bulunmak
kusturabilme,Kusturabilmek işi
kuşanabilmek,Kuşanma ihtimali veya imkânı bulunmak
kuşanabilme,Kuşanabilmek işi
kuşatabilmek,Kuşatma ihtimali veya imkânı bulunmak
kuşatabilme,Kuşatabilmek işi
kutlayabilmek,Kutlama ihtimali bulunmak
kutlayabilme,Kutlayabilmek işi
manalandırabilmek,Manalandırma ihtimali veya imkânı bulunmak
manalandırabilme,Manalandırabilmek işi
meşrulaşabilmek,Meşru duruma gelebilmek
meşrulaşabilme,Meşrulaşabilmek işi
meşrulaştırabilmek,Meşrulaştırma ihtimali veya imkânı bulunmak
meşrulaştırabilme,Meşrulaştırabilmek işi
mırıldanabilmek,Mırıldanma ihtimali veya imkânı bulunmak
mırıldanabilme,Mırıldanabilmek işi
nazlanabilmek,Nazlanma ihtimali veya imkânı bulunmak
nazlanabilme,Nazlanabilmek işi
nişanlayabilmek,Nişanlama ihtimali veya imkânı bulunmak
nişanlayabilme,Nişanlayabilmek işi
noktalayabilmek,Noktalama ihtimali veya imkânı bulunmak
noktalayabilme,Noktalayabilmek işi
odaklayabilmek,Odaklama ihtimali veya imkânı bulunmak
odaklayabilme,Odaklayabilmek işi
odaklanabilmek,Odaklanma imkânı olmak
odaklanabilme,Odaklanabilmek işi
okşayabilmek,Okşama ihtimali veya imkânı bulunmak
okşayabilme,Okşayabilmek işi
okuyuvermek,Çabucak veya kısa sürede okumak
okuyuverme,Okuyuvermek işi
okuyabilmek,Okuma ihtimali veya imkânı bulunmak
okuyabilme,Okuyabilmek işi
okunabilmek,Okunma ihtimali veya imkânı bulunmak
okunabilme,Okunabilmek işi
okutabilmek,Okutma ihtimali veya imkânı bulunmak
okutabilme,Okutabilmek işi
okutturabilmek,Okutturma ihtimali veya imkânı bulunmak
okutturabilme,Okutturabilmek işi
olgunlaşabilmek,Olgunlaşma ihtimali veya imkânı bulunmak
olgunlaşabilme,Olgunlaşabilmek işi
olgunlaştırabilmek,Olgunlaştırma ihtimali bulunmak
olgunlaştırabilme,Olgunlaştırabilmek işi
olabilmek,"Olma, gerçekleşme ihtimali veya imkânı bulunmak"
olabilme,Olabilmek işi veya durumu
oluvermek,Çabucak veya kısa sürede olmak
oluverme,Oluvermek işi veya durumu
olagelmek,Öteden beri sürüp gelmek
olagelme,Olagelmek işi veya durumu
olayazmak,Az kalsın olmak
olayazma,Olayazmak işi
olunabilmek,Olunma ihtimali veya imkânı bulunmak
olunabilme,Olunabilmek işi veya durumu
oluşabilmek,Oluşma ihtimali veya imkânı bulunmak
oluşabilme,Oluşabilmek işi
oluşturuvermek,Çabucak veya kısa sürede oluşturmak
oluşturuverme,Oluşturuvermek işi
oluşturabilmek,Oluşturma ihtimali veya imkânı bulunmak
oluşturabilme,Oluşturabilmek işi
oluşturulabilmek,Oluşturulma ihtimali veya imkânı bulunmak
oluşturulabilme,Oluşturulabilmek işi
omuzlayabilmek,Omuzlama ihtimali veya imkânı bulunmak
omuzlayabilme,Omuzlayabilmek işi
onayabilmek,Onama ihtimali veya imkânı bulunmak
onayabilme,Onayabilmek işi
onarabilmek,Onarma ihtimali veya imkânı bulunmak
onarabilme,Onarabilmek işi
onaylayabilmek,"Onaylama ihtimali veya imkânı bulunmak, tasdikleyebilmek"
onaylayabilme,"Onaylayabilmek işi, tasdikleyebilme"
onaylatabilmek,"Onaylatma ihtimali veya imkânı bulunmak, tasdikletebilmek"
onaylatabilme,"Onaylatabilmek işi, tasdikletebilme"
oranlayabilmek,Oranlama ihtimali veya imkânı bulunmak
oranlayabilme,Oranlayabilmek işi
ortalayabilmek,Ortalama ihtimali veya imkânı bulunmak
ortalayabilme,Ortalayabilmek işi
otlatabilmek,Otlatma ihtimali veya imkânı bulunmak
otlatabilme,Otlatabilmek işi
oturakalmak,Oturup kalmak
oturakalma,Oturakalmak işi
oturabilmek,Oturma ihtimali veya imkânı bulunmak
oturabilme,Oturabilmek işi
oturtabilmek,Oturtma ihtimali veya imkânı bulunmak
oturtabilme,Oturtabilmek işi
oyalayabilmek,Oyalama ihtimali veya imkânı bulunmak
oyalayabilme,Oyalayabilmek işi
oyalanabilmek,Oyalanma ihtimali veya imkânı bulunmak
oyalanabilme,Oyalanabilmek işi
oylayabilmek,Oylama ihtimali veya imkânı bulunmak
oylayabilme,Oylayabilmek işi
oyuvermek,Çabucak veya kısa sürede oymak
oyuverme,Oyuvermek işi
oyabilmek,Oyma ihtimali bulunmak
oyabilme,Oyabilmek işi
oynayıvermek,Ansızın veya çabucak oynamak
oynayıverme,Oynayıvermek işi
oynayabilmek,Oynama ihtimali veya imkânı bulunmak
oynayabilme,Oynayabilmek işi
oynatıvermek,Ansızın veya çabucak oynatmak
oynatıverme,Oynatıvermek işi
oynatabilmek,Oynatma ihtimali veya imkânı bulunmak
oynatabilme,Oynatabilmek işi
palazlanabilmek,Palazlanma ihtimali veya imkânı bulunmak
palazlanabilme,Palazlanabilmek işi
parçalayabilmek,Parçalama ihtimali veya imkânı bulunmak
parçalayabilme,Parçalayabilmek işi
parlayabilmek,Parlama ihtimali veya imkânı bulunmak
parlayabilme,Parlayabilmek işi
dizel motoru,Ateşleme işi buji yerine havanın sıkıştırılması sonucu elde edilen ısıdan yararlanılarak yapılan bir motor türü
arkası yarın,Tamamı daha sonra konuşulmak üzere yarım bırakılan
patlatabilmek,Patlatma ihtimali veya imkânı bulunmak
parlatabilmek,Parlatma ihtimali veya imkânı bulunmak
parlatabilme,Parlatabilmek işi
pataklayabilmek,Pataklama ihtimali veya imkânı bulunmak
pataklayabilme,Pataklayabilmek işi
patlayabilmek,Patlama ihtimali bulunmak
patlayabilme,Patlayabilmek işi
patlatabilme,Patlatabilmek işi
paylaşıvermek,Çabucak veya kısa sürede paylaşmak
paylaşıverme,Paylaşıvermek işi
paylaşabilmek,Paylaşma ihtimali bulunmak
paylaşabilme,Paylaşabilmek işi
paylaştırabilmek,Paylaştırma ihtimali veya imkânı bulunmak
paylaştırabilme,Paylaştırabilmek işi
pazarlayabilmek,Pazarlama ihtimali veya imkânı bulunmak
pazarlayabilme,Pazarlayabilmek işi
pıhtılaşabilmek,Pıhtılaşma ihtimali veya imkânı bulunmak
pıhtılaşabilme,Pıhtılaşabilmek işi
planlayabilmek,Planlama ihtimali veya imkânı bulunmak
planlayabilme,Planlayabilmek işi
pompalayabilmek,Pompalama ihtimali veya imkânı bulunmak
pompalayabilme,Pompalayabilmek işi
postalayabilmek,Postalama ihtimali veya imkânı bulunmak
postalayabilme,Postalayabilmek işi
programlayabilmek,Programlama ihtimali veya imkânı bulunmak
programlayabilme,Programlayabilmek işi
puanlayabilmek,Puanlama ihtimali veya imkânı bulunmak
puanlayabilme,Puanlayabilmek işi
rahatlayabilmek,Rahatlama ihtimali veya imkânı bulunmak
rahatlayabilme,Rahatlayabilmek işi
rahatlatabilmek,Rahatlatma ihtimali veya imkânı bulunmak
rahatlatabilme,Rahatlatabilmek işi
rastlayıvermek,Birdenbire rastlamak
rastlayıverme,Rastlayıvermek işi
rastlayabilmek,Rastlama ihtimali veya imkânı bulunmak
rastlayabilme,Rastlayabilmek işi
rastlaşabilmek,Rastlaşma ihtimali veya imkânı bulunmak
rastlaşabilme,Rastlaşabilmek işi
rastlanabilmek,Rastlanma ihtimali veya imkânı bulunmak
rastlanabilme,Rastlanabilmek işi
rahatlayıvermek,Çabucak veya kısa sürede rahatlamak
rahatlayıverme,Rahatlayıvermek işi
sabahlayabilmek,Sabahlama ihtimali veya imkânı bulunmak
sabahlayabilme,Sabahlayabilmek işi
saçılıvermek,Birdenbire saçılmak
saçılıverme,Saçılıvermek işi
saçılabilmek,Saçılma ihtimali veya imkânı bulunmak
saçılabilme,Saçılabilmek işi
saçabilmek,Saçma ihtimali veya imkânı bulunmak
saçabilme,Saçabilmek işi
saçıvermek,Çabucak ve kısa sürede saçmak
saçıverme,Saçıvermek işi
saçmalayabilmek,Saçmalama ihtimali bulunmak
saçmalayabilme,Saçmalayabilmek işi
sağlayabilmek,Sağlama ihtimali veya imkânı bulunmak
sağlayabilme,Sağlayabilmek işi
sağlanabilmek,Sağlanma ihtimali veya imkânı bulunmak
sağlanabilme,Sağlanabilmek işi
sağabilmek,Sağma ihtimali veya imkânı bulunmak
sağabilme,Sağabilmek işi
sağıvermek,Çabucak sağmak
sağıverme,Sağıvermek işi
sakınabilmek,Sakınma ihtimali veya imkânı bulunmak
sakınabilme,Sakınabilmek işi
alçılı sargı,"Vücudun herhangi bir bölümünde hareketi önleme amacıyla kalsiyum sülfat tozu, hidrofil bez ile hazırlanan ve su karıştırıldığında sertleşme özelliği olan tıbbi destek malzemesi"
hardal yakısı,"Halk hekimliğinde, kâğıda yapıştırılan hardal tozunun nemlendirilip ağrılı yere uygulanması biçiminde kullanılan ağrı giderici malzeme"
varis çorabı,Bacaklarda ilgili bölgeye basınç veya destek uygulamak amacıyla kullanılan özel olarak üretilmiş tıbbi malzeme
yara bandı,"Yara üzerine yapıştırılan, özel olarak hazırlanmış, ilaçlı, küçük şerit"
nasır yakısı,Nasırı tedavi etmek amacıyla hazırlanmış ilaçlı bant
valüasyon,Değerleme
boşaltıcı,"Foseptikteki pis suları çekmeye yarayan makine, vidanjör"
küpkök,Küpü verilen bir sayıya eşit olan sayı
dızdız,Ağustos böceklerinin çıkardığı ses
bir defacık,Bir kerelik
bir gün evvel,"Bir an önce, olabildiği kadar çabuk"
bir an evvel,Bir an önce
bir gün önce,Bir an önce
deve hamuru,Yenilmesi ve sindirilmesi güç yiyecek
müteaddi,"Geçişli, lazım karşıtı"
modern mantık,"Kavramları kelimelerle değil göstergelerle göstererek işlem yapan, matematiğe dayalı mantık, lojistik"
arama motoru,"Kullanıcıların, aradıkları bilgiye ulaşmalarını sağlamak için genel ağ üzerindeki ağ sitelerini başlıklarına, açıklamalarına, anahtar kelimelerine ve içeriklerine göre bir dizin olarak sıralayan sistem"
vücut dili,Beden dili
beden dili,"Duygu ve düşüncelerin yüz ifadesi, beden duruşu vb. yollarla anlatıldığı iletişim biçimi, vücut dili"
teknolog,Teknoloji üzerinde çalışan kimse
korumacı,Koruma işini yapan kimse
dendrolojik,Ağaç bilimsel
glasyolojik,Buzul bilimsel
nanoteknolojik,Nanoteknoloji ile ilgili
önolog,Şarapla ve şarap yapımıyla ilgilenen kimse
proktolojik,Proktolji ile ilgili
nevrozlu,Nevroz hastalığına yakalanmış
başkaldırıcı,"Başkaldıran, isyan eden, asi, isyancı, isyankâr"
başkaldırıcılık,"Başkaldırıcı olma durumu, asilik, isyancılık, isyankârlık"
toleranslılık,Hoşgörülülük
hoşgörülülük,"Hoşgörülü olma, hoşgörü ile davranma durumu, hoşgörücülük, hoşgörürlük, müsamahakârlık, toleranslılık"
tavizkârlık,Ödüncülük
ödüncülük,"Ödüncü olma durumu, tavizcilik, tavizkârlık"
kök örnek,"Bir nesnenin bilinen ilk ve en özgün biçimi, arketip"
göz doktoru,"Göz hastalıkları doktoru, gözcü"
çocuk doktoru,"Çocuk sağlığı ve hastalıkları doktoru, çocukçu"
hayat düzeyi,Yaşam düzeyi
çatıcı,Çatı işlerini yapan kimse
sürücü,"Çoban, güdücü"
organik ürün,Geliştirici veya olgunlaştırıcı bir kimyasal madde kullanılmadan doğal ortamda yetiştirilen ürün
vara yoğa,Her şeye
varı yoğu,Bir kimsenin sahip olduğu her şey
sahteletme,Sahteletmek işi
sahteletmek,"Sahtesini yaptırmak, yasa dışı kopyasını çıkartmak"
sahteleme,Sahtelemek işi
sahtelemek,"Sahtesini yapmak, yasa dışı kopyasını çıkarmak"
servis sayısı,"Teniste rakibin karşılayamadığı, doğrudan doğruya sayı getiren servis"
saklayabilmek,Saklama ihtimali veya imkânı bulunmak
saklayabilme,Saklayabilmek işi
saklanabilmek,Saklanma ihtimali veya imkânı bulunmak
saklanabilme,Saklanabilmek durumu
saklanıvermek,Çabucak saklanmak
saklanıverme,Saklanıvermek işi
saldırabilmek,Saldırma ihtimali veya imkânı bulunmak
saldırabilme,Saldırabilmek işi
saldırıvermek,Ansızın veya çabucak saldırmak
saldırıverme,Saldırıvermek işi
saldırtabilmek,Saldırtma ihtimali veya imkânı bulunmak
saldırtabilme,Saldırtabilmek işi
salınabilmek,Salınma ihtimali veya imkânı bulunmak
salınabilme,Salınabilmek işi
sallayabilmek,Sallama ihtimali veya imkânı bulunmak
sallayabilme,Sallayabilmek işi
sallayıvermek,Ansızın sallamak
sallayıverme,Sallayıvermek işi
sallanabilmek,Sallanma ihtimali veya imkânı bulunmak
sallanabilme,Sallanabilmek işi
salabilmek,Salma ihtimali veya imkânı bulunmak
salabilme,Salabilmek işi
sanabilmek,Sanma ihtimali veya imkânı bulunmak
sanabilme,Sanabilmek işi
sanıvermek,Sanmak
sanıverme,Sanıvermek işi
saplayabilmek,Saplama ihtimali veya imkânı bulunmak
saplayabilme,Saplayabilmek işi
saplanabilmek,Saplanma ihtimali veya imkânı bulunmak
saplanabilme,Saplanabilmek işi
sapabilmek,Sapma ihtimali veya imkânı bulunmak
sapabilme,Sapabilmek işi
sapıvermek,Ansızın veya çabucak sapmak
sapıverme,Sapıvermek işi
saptayabilmek,Saptama ihtimali veya imkânı bulunmak
saptayabilme,Saptayabilmek işi
saptanabilmek,Saptanma ihtimali veya imkânı bulunmak
saptanabilme,Saptanabilmek işi
saptırabilmek,Saptırma ihtimali veya imkânı bulunmak
saptırabilme,Saptırabilmek işi
sarılabilmek,Sarılma ihtimali veya imkânı bulunmak
sarılabilme,Sarılabilmek işi
sarınabilmek,Sarınma ihtimali veya imkânı bulunmak
sarınabilme,Sarınabilmek işi
sarkıtabilmek,Sarkıtma ihtimali veya imkânı bulunmak
sarkıtabilme,Sarkıtabilmek işi
sarkabilmek,Sarkma ihtimali veya imkânı bulunmak
sarkabilme,Sarkabilmek işi
sarıvermek,Çabucak sarmak
sarıverme,Sarıvermek işi
sarabilmek,Sarma ihtimali veya imkânı bulunmak
sarabilme,Sarabilmek işi
sarsabilmek,Sarsma ihtimali veya imkânı bulunmak
sarsabilme,Sarsabilmek işi
sataşabilmek,Sataşma ihtimali veya imkânı bulunmak
sataşabilme,Sataşabilmek işi
satılabilmek,Satılma ihtimali veya imkânı bulunmak
satılabilme,Satılabilmek işi
satıvermek,Çabucak veya kısa sürede satmak
satıverme,Satıvermek işi
satabilmek,Satma ihtimali veya imkânı bulunmak
satabilme,Satabilmek işi
sattırabilmek,Sattırma ihtimali veya imkânı bulunmak
sattırabilme,Sattırabilmek işi
savaşabilmek,Savaşma ihtimali veya imkânı bulunmak
savaşabilme,Savaşabilmek işi
savabilmek,Savma ihtimali veya imkânı bulunmak
savabilme,Savabilmek işi
savrulabilmek,Savrulma ihtimali veya imkânı bulunmak
savrulabilme,Savrulabilmek işi
savunabilmek,Savunma ihtimali veya imkânı bulunmak
savunabilme,Savunabilmek işi
savurabilmek,Savurma ihtimali veya imkânı bulunmak
savurabilme,Savurabilmek işi
savuşuvermek,Çabucak savuşmak
savuşuverme,Savuşuvermek işi
savuşturabilmek,Savuşturma ihtimali veya imkânı bulunmak
savuşturabilme,Savuşturabilmek işi
saydırabilmek,Saydırma ihtimali veya imkânı bulunmak
saydırabilme,Saydırabilmek işi
sayılabilmek,"Sayılma ihtimali veya imkânı bulunmak, addedilebilmek"
sayılabilme,"Sayılabilmek işi, addedilebilme"
sayıvermek,Çabucak saymak
sayıverme,Sayıvermek işi
sayabilmek,Sayma ihtimali veya imkânı bulunmak
sayabilme,Sayabilmek işi
selamlayabilmek,Selamlama ihtimali veya imkânı bulunmak
selamlayabilme,Selamlayabilmek işi
selamlaşabilmek,Selamlaşma ihtimali veya imkânı bulunmak
selamlaşabilme,Selamlaşabilmek işi
sıçabilmek,Sıçma ihtimali veya imkânı bulunmak
sıçabilme,Sıçabilmek işi
sıçrayabilmek,Sıçrama ihtimali veya imkânı bulunmak
sıçrayabilme,Sıçrayabilmek işi
sıçratabilmek,Sıçratma ihtimali veya imkânı bulunmak
sıçratabilme,Sıçratabilmek işi
sığdırıvermek,Kolayca sığdırmak
sığdırıverme,Sığdırıvermek işi
sığdırabilmek,Sığdırma ihtimali veya imkânı bulunmak
sığdırabilme,Sığdırabilmek işi
sığınıvermek,Çabucak sığınmak
sığınıverme,Sığınıvermek işi
sığınabilmek,Sığınma ihtimali veya imkânı bulunmak
sığınabilme,Sığınabilmek işi
sığıştırabilmek,Sığıştırma ihtimali veya imkânı bulunmak
sığıştırabilme,Sığıştırabilmek işi
sığabilmek,Sığma ihtimali veya imkânı bulunmak
sığabilme,Sığabilmek işi
sıkışabilmek,Sıkışma ihtimali veya imkânı bulunmak
sıkışabilme,Sıkışabilmek işi
sıkıştırabilmek,Sıkıştırma ihtimali veya imkânı bulunmak
sıkıştırabilme,Sıkıştırabilmek işi
sıklaştırabilmek,Sıklaştırma ihtimali veya imkânı bulunmak
sıklaştırabilme,Sıklaştırabilmek işi
sıkabilmek,Sıkma ihtimali veya imkânı bulunmak
sıkabilme,Sıkabilmek işi
sınayabilmek,Sınama ihtimali veya imkânı bulunmak
sınayabilme,Sınayabilmek işi
sınanabilmek,Sınanma ihtimali veya imkânı bulunmak
sınanabilme,Sınanabilmek işi
sıralayabilmek,Sıralama ihtimali veya imkânı bulunmak
sıralayabilme,Sıralayabilmek işi
sıralayıvermek,Çabucak veya kısa zamanda sıralamak
sıralayıverme,Sıralayıvermek işi
sıralanabilmek,Sıralanma ihtimali veya imkânı bulunmak
sıralanabilme,Sıralanabilmek işi
sırıtabilmek,Sırıtma ihtimali veya imkânı bulunmak
sırıtabilme,Sırıtabilmek işi
sırtlayabilmek,Sırtlama ihtimali veya imkânı bulunmak
sırtlayabilme,Sırtlayabilmek işi
sıvanabilmek,Sıvanma ihtimali veya imkânı bulunmak
sıvanabilme,Sıvanabilmek işi
kışkırtılı,Kışkırtılmış
sarmaç,Bigudi
dans salonu,"Dans etmek için gidilen, halka açık yer"
bahtı açıklık,Bahtı açık olma durumu
bahtı karalık,Bahtı kara olma durumu
bağrı yanıklık,Bağrı yanık olma durumu
yoğuşturma,Yoğuşturmak işi
yoğuşturmak,Gaz hâlindeki bir maddeyı ısısını kaybettirerek sıvı hâle getirmek
yoğuşmak,Gaz hâlindeki bir madde ısı kaybederek sıvı hâle gelmek
deadline,343 süre sonu
defansif,Savunmalı
savunmalı,"Savunmayı esas alarak kurulan (oyun düzeni), defansif"
dekadans,Çöküş
tanıtım gösterisi,"Bir şeyi tanıtmak amacıyla yapılan sunum, demonstrasyon, demo"
sıvışabilmek,Sıvışma ihtimali veya imkânı bulunmak
sıvışabilme,Sıvışabilmek işi
sıyırabilmek,Sıyırma ihtimali veya imkânı bulunmak
sıyırabilme,Sıyırabilmek işi
sıyırıvermek,Ansızın veya çabucak sıyırmak
sıyırıverme,Sıyıvermek işi
sıyrılabilmek,Sıyrılma ihtimali veya imkânı bulunmak
sıyrılabilme,Sıyrılabilmek işi
sızdırabilmek,Sızdırma ihtimali veya imkânı bulunmak
sızdırabilme,Sızdırabilmek işi
sızıvermek,Çabucak sızmak
sızıverme,Sızıvermek işi
sızabilmek,Sızma ihtimali veya imkânı bulunmak
sızabilme,Sızabilmek işi
soğutabilmek,Soğutma ihtimali veya imkânı bulunmak
soğutabilme,Soğutabilmek işi
sokabilmek,Sokma ihtimali veya imkânı bulunmak
sokabilme,Sokabilmek işi
sokuvermek,Ansızın veya çabucak sokmak
sokuverme,Sokuvermek işi
sokulabilmek,Sokulma ihtimali veya imkânı bulunmak
sokulabilme,Sokulabilmek işi
sokuluvermek,Çabucak sokulmak
sokuluverme,Sokuluvermek işi
sokuşturabilmek,Sokuşturma ihtimali veya imkânı bulunmak
sokuşturabilme,Sokuşturabilmek işi
sollayabilmek,Sollama ihtimali veya imkânı bulunmak
sollayabilme,Sollayabilmek işi
soluyabilmek,Soluma ihtimali veya imkânı bulunmak
soluyabilme,Soluyabilmek işi
somurtabilmek,Somurtma ihtimali veya imkânı bulunmak
somurtabilme,Somurtabilmek işi
sonlandırabilmek,Sonlandırma ihtimali veya imkânı bulunmak
sonlandırabilme,Sonlandırabilmek işi
sonuçlandırabilmek,"Sonuçlandırma ihtimali veya imkânı bulunmak, neticelendirebilmek"
sonuçlandırabilme,"Sonuçlandırabilmek işi, neticelendirebilme"
sordurabilmek,Sordurma ihtimali veya imkânı bulunmak
sordurabilme,Sordurabilmek işi
sordurtabilmek,Sordurtma ihtimali veya imkânı bulunmak
sordurtabilme,Sordurtabilmek işi
sorgulayabilmek,Sorgulama ihtimali veya imkânı bulunmak
sorgulayabilme,Sorgulayabilmek işi
sorgulatabilmek,Sorgulatma ihtimali veya imkânı bulunmak
sorgulatabilme,Sorgulatabilmek işi
sorgulanabilmek,Sorgulanma ihtimali veya imkânı bulunmak
sorgulanabilme,Sorgulanabilmek işi
soruvermek,Ansızın sormak
soruverme,Soruvermek işi
sorabilmek,Sorma ihtimali veya imkânı bulunmak
sorabilme,Sorabilmek işi
soruşturabilmek,Soruşturma ihtimali veya imkânı bulunmak
soruşturabilme,Soruşturabilmek işi
soyabilmek,Soyma ihtimali veya imkânı bulunmak
soyabilme,Soyabilmek işi
soyunuvermek,Çabucak soyunmak
soyunuverme,Soyunuvermek işi
tuğla oyunu,"Bilgisayarda veya cep telefonlarında oynanan, topla tuğlaları yıkma esasına dayanan oyun"
antipersonel,Hedefi insan olan
açık giyimli,"Göreneğe aykırı derecede çıplak, dekolte"
açık giyim,"Kadın giyiminin kolları, göğsü veya sırtı açıkta bırakan biçimi, dekolte"
destinasyon turizmi,Nokta turizmi
nokta turizmi,"Gezi, ziyaret ve alışveriş programı önceden belirlenen varış noktasında yapılan turistik düzenleme, destinasyon turizmi"
dublajcılık,Seslendiricilik
seslendiricilik,Seslendirici olma durumu
koruma aracı,"Önemli kişileri yolculukları sırasında varacakları yere ulaştırmak ve korumakla görevli kişilerin bulunduğu araç, eskort"
dış ağ,Yerel ağlarla birbirine bağlı birçok bilgisayarın genel ağı kullanarak birbirleriyle iletişim kurduğu bilgi iletişim ağı
flashback,343 geriye dönüş
geriye dönüş,"Roman, hikâye, sinema vb.nde geçmişteki bir olayı, gösterilen o anda yeniden verme"
giysi dolabı,"Giysilerin düzenli bir biçimde saklanmasını ve kullanmak istendiğinde kolay ulaşılmasını sağlayacak biçimde yapılmış dolap, gardırop"
dokunmasız,"Dokunmadan, ele alınmadan kullanılabilen"
hands free,343 dokunmasız
indirim saatleri,Mağaza veya barlarda günün değişik saatlerinde yapılan indirim anları
hat trick,343 üçleme
hedging,343 koruma
in,Yaban hayvanlarının kendilerine yuva edindikleri kovuk
in gibi,dar ve karanlık (yer)
in-line skate,343 kaykaç
kaykaç,Özel olarak yapılmış ayakkabıların altına yerleştirilmiş krampona benzeyen bir dizi tekerlekle kayılarak yapılan bir spor dalı
sağlık raporu,"Üstleneceği işi yapmaya zihinsel veya bedensel bir engeli olup olmadığını belirten, yetkili kurumlarca düzenlenen resmî belge"
içgöreç,Endoskop
iç görüm,Endoskopi
iç görümlü,Endoskopik
endoskopik,"Endoskopi ile ilgili, iç görümlü"
arkabahçe,"Bir bölgeyi çevreleyen ve onunla ekonomik ve toplumsal etkileşim içinde bulunan bölge, hinterlant"
ders notu,Eğitim amacıyla derslerde kullanılmak üzere hazırlanmış görsel veya yazılı malzeme
konjonktivit,Göz zarı yangısı
göz zarı yangısı,"Kornea hariç göz kapaklarının iç yüzü ile göz küresinin ön yüzünü örten zarda oluşan iltihap, konjonktivit"
perdeleyici,"Basketbolda rakibin önüne geçerek top almasını engelleyen oyuncu, markajcı"
mouse,343 fare
nickname,343 takma ad
nod,343 yumru
nötralizm,Yansızlık
azel,"Sunumun birkaç satıcı tarafından yapıldığı ve bu az sayıdaki satıcının birbirlerinin üretim kararlarından etkilendiği piyasa türü, oligopol"
azelleşme,"Azelleşmek durumu, oligopolleşme"
azelleşmek,Azel durumuna gelmek
oligopol,Azel
az alıcı,"Çok sayıda satıcıya karşılık sınırlı sayıda alıcının bulunduğu, dolayısıyla her alıcının satın alacağı miktar ve satıcıya ödeyeceği fiyatın, rakip alıcıların miktar ve fiyatlarını etkileyebileceği piyasa türü, oligopson"
oligopson,Az alıcı
arınık,"Her çeşit mikroptan arınmış, steril, sterilize"
statüko,"Süregelen düzenin korunması durumu, sürer durum"
sticker,343 çıkartma
arınıklık,"Cansız yüzeylerdeki yararlı ve zararlı mikroorganizmaların kimyasal madde, ısı, ışın gibi etkenler kullanılarak tamamen yok edilmesi işlemi, sterilizasyon"
giyimçizer,"Bir modaevinde yeni ürünlerin oluşumunu ve yaratılmasını sağlayan kimse, stilist"
yığımlık,"Bir sanayi dalında yararlanılan ham, işlenmiş veya yarı işlenmiş maddelerin tümü, stok"
