madde,anlam
açık yaraya tuz ekilmez,"`acısı henüz taze olan bir kimsenin üzüntüsü, birtakım söz ve davranışlarla artırılmamalıdır` anlamında kullanılan bir söz"
açık açık,Saklamaksızın
açıkağız,Turpgillerden bir bitki (Hesperis acris)
açık ağızlı,"Aptal, sersem, ahmak"
açık artırma,"Bir malın satışında alıcılar arasında fiyat artırma yarışına dayanan satış biçimi, artırma, müzayede"
açık bilet,Tarihi kararlaştırılmamış yolculuklarda kullanılmak üzere belirli bir dönem için geçerli olan bilet
açık bono,"Para hanesi boş bırakılarak imza edilen bono, açık senet"
açık bono vermek,sınırsız yetki tanımak
açık bölge,Serbest bölge
açık celse,Açık duruşma
açık ciro,Senet veya çekin arkasının kime ödeneceği belirtilmeden imzalanmasıyla yapılan ciro
açıkça,"Gizli bir yönü kalmaksızın, kolay anlaşılır bir biçimde, alenen, aşikâre"
açıkçasını söylemek,"doğrusunu, açık olanını, anlaşılır biçimini söylemek"
açıkçası,"Açık söylemek gerekirse, Türkçesi"
açık çek,Üzerine para miktarı yazılmamış çek
açıkçı,Borsada fiyat dalgalanmalarından yararlanarak açıktan para kazanan kimse
açık deniz,"Denizin, kara sularının dışında kalan bölümü"
açık devre,Bir yalıtkanla üzerinden elektrik akımının sürekli olarak geçmesinin engellendiği devre
açık dolaşım sistemi,Genellikle bütün eklem bacaklılarda ve birçok yumuşakçada bulunan atardamar ve kan boşluğundan oluşmuş açık bir dolaşım sistemi
açık duruşma,"Herkesin dinleyebileceği duruşma, açık celse"
açık düşme,Açık düşmek işi
açık eksiltme,"Yaptırılacak bir işin, satın alınacak bir malın ucuza sağlanması için işi yapacak veya malı satacak kişiler arasında fiyat düşürme yarışına dayanan işlem"
açık elli,Cömert
açık ellilik,Cömertlik
açık fikirli,"Olayları ve özellikle yenilikleri iyi anlayıp gereği gibi karşılayabilen, düşündüğünü olduğu gibi söyleyebilen (kimse)"
açıkgöz,"Uyanık davranarak çıkar sağlayan, imkânlardan kurnazca yararlanmasını bilen, cingöz, uyanık, kurnaz (kimse)"
açıkgözlük,Açıkgözlülük
açıkgözlülük,Açıkgöz olanın durumu
açıkgözlülük etmek,kurnazlık ederek amacına ulaşmaya çalışmak
açık hava,"Bahçe, park gibi yapı dışı olan yer"
açık hava sineması,"Yazın veya iklimi elverişli yerlerde geceleri çalışan, üstü açık, yanları kapalı sinema"
açık hava tiyatrosu,"Yazın veya iklimi elverişli yerlerde geceleri çalışan, üstü açık, yanları kapalı tiyatro"
açık hece,Ünlü ile biten hece
açık hesap,Peşin para veya bono vermeden yapılan alışveriş
açık imza,"Üzeri boş bırakılan bir kâğıdın altına, dolduracak olana güvenilerek atılan imza"
açık işletme,Maden yatağını örten verimsiz topraklar kaldırıldıktan sonra açık havada yapılan işletme
açık kahverengi,"Kahverenginin bir veya birkaç ton açığı, sütlü kahve, kestane rengi, kestane dorusu"
açık kalp ameliyatı,Kan dolaşımı kalp akciğer pompası denilen bir aygıta devredildikten sonra yapılan kalp ameliyatı
açık kalpli,Açık yürekli
açık kalplilik,Açık yüreklilik
açık kapı politikası,"Yabancı malları bir ülkeye serbestçe sokma politikası, açık kapı siyaseti"
açık kapı siyaseti,Açık kapı politikası
açık kredi,"Bankaların güvendikleri müşterilere rehin, ipotek veya kefil istemeksizin verdikleri borç para"
açıklama,"Açıklamak işi, izah"
açıklama yapmak,herhangi bir konuyu aydınlığa kavuşturmak amacıyla konuşmak veya yazmak
açıklamak,"Bir konuyla ilgili gerekli bilgileri vermek, izah etmek"
açıklamalı,"Birtakım açıklamalarla anlaşılması, öğrenilmesi kolaylaştırılmış, izahlı"
açıklanan,"Açıklamalar sonunda ortaya çıkması beklenen kavram, açıklayan"
açıklanma,Açıklanmak işi
açıklanmak,"Açıklama işi yapılmak, izah edilmek, ifşa edilmek"
açıklar livası olmak,işsiz ve kazançsız kalmak
açıklar livası,"İşi gücü olmayan, boşta kalan kimse"
açıklaşma,Açıklaşmak durumu
açıklaşmak,Açık duruma gelmek
açıklaştırma,Açıklaştırmak işi
açıklaştırmak,Açık duruma getirmek
açıklatma,Açıklatmak işi
açıklatmak,Açıklamasını sağlamak
açıklayan,Açıklanan
açıklayıcı,Bir sorunu gerekli açıklığa kavuşturan
açıklayış,Açıklama işi
açıklığa kavuşmak,"bir konu veya sorun aydınlanmak, kapalılıktan kurtarılmak, anlaşılır duruma getirilmek"
açıklık kazanmak,"bir konu aydınlanmak, anlaşılır duruma gelmek"
açıklık,"Açık olma durumu, aleniyet"
açıklık getirmek,bir konu veya sorunu anlaşılır duruma getirmek
açıklıkölçer,Bir mikroskobun açıklığını ölçmeye yarayan alet
açık liman,Gemilerin idari açıdan kolayca girip çıktıkları liman
açık maaşı,Görevinden alınan birine yasaca tanınan belirli bir süre içinde ödenen aylık
açık mavi,Mavinin bir veya birkaç ton açığı
açık mektup,Yazıldığı kimseye gönderilmeyip basın yoluyla açıklanan mektup
açık ordugâh,Kırda kurulan ordugâh
açık oturum,"Seçilmiş bir konuşmacı grubu tarafından güncel, siyasal, sosyal ve bilimsel konuların veya sorunların herkesin izleyebileceği bir biçimde açık olarak tartışıldığı toplantı, panel"
açık oy,Verenin adını gösteren ve konuşulan sorun üzerindeki düşüncesini belli edecek yolda verilen oy
açık öğretim,"Dersleri radyo, televizyon vb. araçlarla yayımlanan veya posta ile ilgililere ulaştırılan eğitim"
açık önerme,İçerisinde değişken bulunan ve bu değişkenin alacağı değerle doğruluğu veya yanlışlığı kesinleşen önerme
açık pazar,"Her devletin malını serbestçe satabileceği, gümrük işlemleri yapılmayan şehir veya ülke"
açık pembe,Pembenin bir veya birkaç ton açığı
açık poliçe,Eksik bilgileri sonradan tamamlanmak üzere düzenlenen poliçe
açık rejim,Parlamenter rejim
açık saçık,"Yüz kızartıcı, edepsiz, müstehcen, cinsel çağrışım yüklü (söz, anlatım)"
açık saçık konuşmak,cinsel konularla ilgili sözler söylemek
açık sarı,Sarının bir veya birkaç ton açığı
açık sayım,"Bir seçim sonunda verilen oyların açık olarak sayılması, aleni tadat"
açık seçik,"Çok açık, çok belirgin"
açık senet,Açık bono
açık sözlü,"Her şeyi olduğu gibi söyleyen, sözünü esirgemeyen"
açık sözlülük,Açık sözlü olma durumu
açık şehir,"Düşman saldırısına karşı savunma önlemleri alınmamış, içinde herhangi bir askerî hedef bulunmayan ve bu durumu önceden ilan edilmiş olan şehir"
açıktan para almak,"bir iş veya mal için, kararlaştırılmış ücret veya değer dışında para almak"
açıktan (para) kazanmak,emek ve sermaye olmadan para kazanmak
açıktan geçmek,gemi kıyıdan veya diğer taşıtlardan uzak olarak seyretmek
açıktan,Bir yerin uzağından
açıktan almak,açıktan geçmek
açıktan açığa,"Belirgin olarak, göz göre göre, ulu orta"
açıktan tayin,Açıktan atama
açık taşıt,"Üstü örtülmemiş araba, otomobil vb"
açık teşekkür,Herhangi birine basın yoluyla edilen teşekkür
açık tohumlular,"Tohumları kozalak pulları üzerinde açık olarak bulunan çiçekli bitkilerin ayrıldığı iki büyük daldan biri, çıplak tohumlular"
açık tribün,Açık havadaki spor karşılaşmalarında seyircilerin oturduğu ve üstü kapalı olmayan bölüm
açık yara,Kapanmamış yara
açık yeşil,Yeşilin bir veya birkaç ton açığı
açık yürekli,"Düşündüğünü olduğu gibi söyleyen, içi temiz, gizli yönü olmayan (kimse), samimi, açık kalpli"
açık yüreklilik,"Açık yürekli olma durumu, samimiyet, açık kalplilik"
açık zaman,Tutkalın yüzeye sürülmesi ile malzemelerin sıkıştırılması arasında geçen süre
açılama,Güç bir sahnenin çeşitli açılardan çekiminin yapılması
açılım,Açılma işi
açılış,Açılma işi
açılış konuşması,"Herhangi bir kurum, kuruluş, mağaza vb.nin açılması sırasında yapılan konuşma"
açılış töreni,Bir açılışı kutlamak için yapılan toplantı
açılma,Açılmak işi
açılmak,Açma işine konu olmak
"açılan solar, ağlayan güler","`hiçbir durum olduğu gibi kalmaz, gün gelir tersine döner` anlamında kullanılan bir söz"
açılıp saçılmak,kadın açık saçık giyinmeye başlamak
açım,"Açma, açılış, küşat"
açımlama,"Açımlamak işi, teşrih, şerh"
açımlamak,"Bir sorunu veya konuyu ele alıp en ince noktasına kadar gözden geçirerek anlatmak, şerh etmek, teşrih etmek"
açımlanma,Açımlanmak işi
açımlanmak,Açımlama işine konu olmak
açındırma,Açındırmak işi
açındırmak,Açınmasını sağlamak
açınım,"Açınma işi, inkişaf"
açınma,Açınmak işi
açınmak,Gelişmek
açınsama,"Açınsamak işi, istikşaf"
açınsamak,"Bir yerin özelliklerini ortaya çıkarmak için araştırma ve inceleme yapmak, istikşaf etmek"
açıortay,"Bir açıyı, ölçüleri birbirine eşit olan iki açısal bölgeye ayıran doğru parçası"
açıortay düzlemi,İki düzlemli bir açıyı iki komşu ve eşit açıya bölen düzlem
açıölçer,İletki
açı ölçüm,Açı ölçmede söz konusu olan yöntem ve teknik
açısal,"Açı ile ilgili, zaviyevi"
açısal bölge,Açı ile iç bölgesinin birleşiminden oluşan düzlem parçası
açısal çap,"Ay, Güneş vb. gök cisminin çapını gözlemciden gören açı"
açısal hız,Hareket eden bir cismi duran bir noktaya birleştiren doğru parçasının birim zamanda taradığı açı
açısal ivme,Açısal hızın birim zamanda değişen niceliği
açısal sapma,Belli bir açı düzeyinde gerçekleşen sapma
açısal uzaklık,İki cismi gözlemciye birleştiren doğrular arasındaki açı
açısal yol,Hareket eden cismin birim zamanda gözlemciye göre aldığı yol
açış,Açma işi
açış konuşması,"Bir töreni, bir toplantıyı başlatmak için yapılan konuşma"
açıt,"Bir duvarda kapı, pencere, kemerleme vb. bölümler için bırakılmış açıklık"
açkı,"Bir cismin yüzeyi üzerinde sert bir madde veya bir araç sürterek onu düzleştirip parlatma, perdah"
açkıcı,"Açkı yapan kimse, perdahçı"
açkılama,Açkılamak işi
açkılamak,Açkı ile parlatmak
açkılanma,Açkılanmak işi
açkılanmak,"Açkı yapılmak, perdahlanmak"
açkılatma,Açkılatmak işi
açkılatmak,"Açkı işi yaptırmak, perdahlatmak"
açkılı,"Açkı yapılmış, perdahlanmış, perdahlı"
açkısız,"Açkı yapılmamış, perdahlanmamış, perdahsız"
açlıktan ölmeyecek kadar,çok az
açlıktan ölmek,"dayanılmaz derecede acıkmak, çok acıkmak"
açlıktan imanı gevremek,çok acıkmak
açlıktan nefesi kokmak,yoksulluk içinde bulunmak
açlığını bastırmak (veya gidermek veya öldürmek),açlık duygusunu yatıştırmak
açlık ile tokluğun arası yarım yufka,"`yoksul olan buna üzülmemelidir, küçücük bir şey bile en büyük ihtiyacı gidermeye yeter` anlamında kullanılan bir söz"
açlık çekmek,yoksulluk içinde bulunmak
açlık,Aç olma durumu
açlıktan gözü (veya gözleri) dönmek (veya kararmak),çok acıkmak
açlık grevi,Kendisine veya başkalarına yapılan bir haksızlığı protesto için bir kimsenin aç durarak gösterdiği tepki
açma,Açmak işi
açmacı,Açma yapan veya satan kimse
açmak,Bir şeyi kapalı durumdan açık duruma getirmek
"aç gözünü, açarlar gözünü","`yaptığın işlerde uyanık davranmazsan çok kötü durumlarla karşılaşır, gözünü dört açmak zorunda kalırsın` anlamında kullanılan bir söz"
"açma sırrını dostuna, o da söyler dostuna","sırrını açma dostuna, o da söyler dostuna"
"açtı ağzını, yumdu gözünü",`öfkelenerek veya kızarak ağır sözler söyledi` anlamında kullanılan bir söz
açmalık,Kiri çıkarmak veya eşyayı iyice temizlemek için kullanılan her türlü madde
açmaza getirmek (veya düşürmek),"düzen, hile yapmak, bir kimseyi oyuna getirmek, zor duruma sokmak"
açmaza düşmek,içinden çıkılması güç durumda kalmak
açmaz,Satranç oyununda şahı koruyan taşlardan birinin yerinden oynatılamaması durumu
açmaz halatı,"Gemilerin limana bağlanması ve sahilden esecek rüzgârla rıhtımdan uzaklaşmaması için baş, kıç çizgisine dikey olarak bağlanan kısa halat"
açmazlık,Açmaz olma durumu
açtırma,Açtırmak işi
açtırmak,Açma işini yaptırmak
açtırma ağzımı,`kötü bir söz söylememe fırsat verme` anlamında kullanılan bir söz
"açtırma kutuyu, söyletme kötüyü",`kendin hakkındaki kötü düşüncelerimi veya bildiklerimi bana söyletme` anlamında kullanılan bir söz
adı kötüye çıkmak,ünü kötü olarak yayılmak
adı olmak,"gereksiz, yersiz ünü olmak"
adı (bile) olmamak,değeri olmamak
adı var,"beklenilen, istenilen özelliklere sahip olmayan"
adını ağzına almamak,"dargınlık, kırgınlık, kızgınlık vb. sebeple bir kimseden söz etmemek"
adını anmak,"birinden, bir şeyden söz etmek"
adını ...-ye çıkarmak,bir kişinin sahip olmadığı niteliklerle tanınmasına yol açmak
adını çıkarmak,kişi hakkında kötü bir niyetle asılsız söylentiler yaymak
adı karışmak,kötü bir işle birinin ilgisi bulunduğu söylenilmek
adını koymak,karşılığını veya fiyatını kararlaştırmak
adını kirletmek (veya lekelemek),birinin adının kötüye çıkmasına yol açmak
adını taşımak,birinin adıyla anılmak
adını vermek,birinin adını söylemek
adını bağışlamak,kendi adını başka bir kimseye söylemek
adı kalmak,"bir kimse veya bir şey öldükten, ortadan çekildikten sonra dillerde yalnız adı dolaşmak"
adını ağzına abdestle almak,bir kişiyi anarken çok saygılı davranmak
adı gibi bilmek,çok iyi bilmek
ad almak,kendisine ad verilmek
ad çekmek,"iki veya daha çok aday arasında bir sıralama, bir ayırma yapılacağı zaman her birinde bir tek ad yazılı kâğıtları bir araya getirip karıştırdıktan sonra birini çekerek veya özel bir bilgisayar yazılımıyla adları belirlemek"
ad koymak,adlandırmak
ad takmak,adlandırmak
ad vermek,adlandırmak
ad yapmak,"bir alanda ün kazanmak, ün almak"
adı batası (veya batasıca),`yok olası` anlamında kullanılan bir ilenme sözü
ad,"Bir kimseyi, bir şeyi anlatmaya, tanımlamaya, açıklamaya, bildirmeye yarayan söz, isim, nam"
adı bile okunmamak,birine veya bir şeye hiç önem verilmemek
adı batmak,"sevilmeyen bir şey veya kimse unutulmak, adı anılmaz olmak, artık sözü edilmemek"
adı geçmek,"anılmak, söz konusu olmak, ismi geçmek"
adı duyulmak,"tanınmak, ünlenmek"
adı kaldırılmak,"anılmaz olmak, silinip gitmek"
"adı çıkmış dokuza, inmez sekize",`birinin bir kere adı çıktıktan sonra onun hakkındaki yaygın inanç artık kolay kolay düzelemez` anlamında kullanılan bir söz
adı deliye çıkmak,deli olmadığı hâlde deli olarak tanınmak
adı çıkmak,kötü bir ün kazanmak
ad,Sayma
ada,"Deniz veya göl suları ile çevrilmiş küçük kara parçası, cezire"
ada gibi,pek büyük (gemi)
ada balığı,Amber balığı
adabımuaşeret,Görgü kuralları
ada çayı,"Ballıbabagillerden, yurdumuzda çok yetişen tüylü ve beyazımtırak yaprakları olan güzel kokulu bir bitki, dağ çayı (Salvia officinalis)"
adak adamak,bir dileğin gerçekleşmesi amacıyla kurban kesip yoksullara dağıtmak veya kutsal olduğuna inanılan bir güce niyette bulunmak
adak,"Adanılan şey, nezir"
adaklama,Adaklamak işi
adaklamak,Küçük çocuk yürümeye başlamak
adaklanmak,Nişanlanmak
adaklı,"Adağı olan, adak adamış olan"
adaklık,Adak adanan yer
adaksız,"Adağı olmayan, adak adamamış olan"
adale,Kas
adaleli,Kaslı
adalesiz,Kassız
adalet,"Yasalarla sahip olunan hakların herkes tarafından kullanılmasının sağlanması, türe"
adalet dağıtmak,kanunların saydığı hakları sahiplerine vermek
adalete teslim etmek,"sanığı, adalet işleriyle uğraşan kuruluşa götürmek"
adalete teslim olmak,"sanık, adalet işleriyle uğraşan kuruluşa gidip hakkında gerekli işlemin yapılmasını istemek"
adaletine sığınmak,"birinden anlayış, hoşgörü, yakınlık beklemek"
adalet kapısı,Hak ve hukukun aranacağı yer
adaletli,Adil
adalet mahkemesi,Adliye mahkemesi
adalet örgütü,Adliye teşkilatı
adalet sarayı,Mahkemelerin bulunduğu büyük yapı
adaletsiz,Adalete aykırı düşen (şey)
adaletsizlik,Adalete aykırı olma durumu
adalı,Ada halkından olan (kimse)
adama benzemek (veya dönmek),"giyim kuşamıyla, davranışlarıyla insana yakışır bir biçim almak"
adam sanmak,karşısındakine olduğundan fazla değer verme yanlışına düşmek
adam sen de!,bir işin önemsenmediğini anlatmak için söylenen bir söz
adam sırasına geçmek (veya girmek),daha önce toplumda önemli bir yeri veya özel bir değeri yokken artık kendisine önem ve değer verilmek
adam yerine (veya hesabına) koymak,"adamdan saymak, varlığını kabul etmek"
adam olmak,"gelişmek, büyümek"
adamına göre,kişiler arasında ayrıcalık gözeterek
adamın iyisi işbaşında (veya alışverişte) belli olur,`bir kişinin iyi ve becerikli olduğu yaptığı işlerden anlaşılır` anlamında kullanılan bir söz
"adamın kötüsü olmaz, meğer züğürt ola",`toplum içinde herkesin bir değeri vardır ancak züğürtlere değer verilmez` anlamında kullanılan bir söz
